id	growthStep	growthRate	productCropID	nameLocalKey	// desc	// desc
int	int	int	int	string		
0	1	3	0	crop_name_strawberry	딸기	봄
1	4	10	1	crop_name_radish	무	봄
2	4	15	2	crop_name_carrot	당근	봄
3	4	15	3	crop_name_potato	감자	봄
4	4	30	4	crop_name_tomato	토마토	여름
5	4	20	5	crop_name_watermelon	수박	여름
6	4	20	6	crop_name_pumpkin	호박	여름
7	4	20	7	crop_name_pepper	고추	여름
8	4	40	8	crop_name_bean	콩	가을
9	3	40	9	crop_name_sweetpotato	고구마	가을
10	4	30	10	crop_name_beatroot	비트	가을
11	4	50	11	crop_name_onion	양파	가을
12	4	60	12	crop_name_garlic	마늘	겨울
13	4	20	13	crop_name_spinach	시금치	겨울
14	4	40	14	crop_name_cauliflower	콜리플라워	겨울
15	4	20	15	crop_name_cabbage	양배추	겨울